,City,Lat,Lngs,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,Mataura,-46.1927,168.8643,78.85,46,15,4.16,1612671947
1,George Town,5.4112,100.3354,89.6,45,20,6.91,1612671772
2,Itarema,-2.9248,-39.9167,76.89,87,14,8.28,1612672184
3,Qaanaaq,77.484,-69.3632,12.47,91,100,5.66,1612672039
4,Touros,-5.1989,-35.4608,75.2,88,20,3.44,1612672111
5,Cherskiy,68.75,161.3,-4.04,81,0,3.31,1612672060
6,Severo-Kuril'sk,50.6789,156.125,22.24,93,93,23.11,1612672183
7,Carnarvon,-24.8667,113.6333,86.0,100,59,11.5,1612671980
8,Grindavik,63.8424,-22.4338,33.8,64,0,14.97,1612672149
9,Yamada,39.4667,141.95,37.99,88,84,7.81,1612672524
10,Viedma,-40.8135,-62.9967,61.0,79,98,16.53,1612672525
11,Kiunga,-6.1219,141.2906,85.96,71,88,8.63,1612672453
12,Botro,7.8525,-5.3106,77.0,88,52,9.22,1612672525
13,Albany,42.6001,-73.9662,21.99,55,15,2.21,1612672012
14,Neuquén,-38.9516,-68.0591,69.8,56,0,11.5,1612672525
15,Bredasdorp,-34.5322,20.0403,66.2,88,99,7.85,1612672055
16,Bluff,-46.6,168.3333,61.09,77,0,11.18,1612671970
17,Rikitea,-23.1203,-134.9692,78.17,72,100,13.35,1612671977
18,Tilichiki,60.4667,166.1,14.23,90,100,12.93,1612672389
19,Malindi,-3.2175,40.1191,79.36,77,35,5.88,1612672391
20,Iquique,-20.2208,-70.1431,71.6,53,0,6.91,1612672479
21,São Filipe,14.8961,-24.4956,69.08,74,24,13.29,1612672110
22,Fort Saint James,54.4333,-124.25,-0.89,89,100,1.97,1612672526
23,Rosarito,32.3333,-117.0333,57.99,100,90,6.91,1612672526
24,Tuktoyaktuk,69.4541,-133.0374,-16.6,76,90,19.57,1612672001
25,Cateel,7.7914,126.4533,78.37,87,100,6.29,1612672526
26,Rach Gia,10.0167,105.0833,84.2,79,75,3.44,1612672526
27,Prince Rupert,54.3161,-130.3201,39.2,75,90,6.91,1612672527
28,Millinocket,45.6573,-68.7098,23.0,58,75,12.66,1612671964
29,Ushuaia,-54.8,-68.3,46.4,81,75,17.27,1612671957
30,Nanning,22.8167,108.3167,75.2,57,0,2.24,1612672528
31,Kupang,-10.1667,123.5833,80.6,100,75,4.61,1612672529
32,Saint-Philippe,-21.3585,55.7679,84.2,70,0,5.75,1612671984
33,Tasiilaq,65.6145,-37.6368,32.0,59,20,20.71,1612672038
34,Cape Town,-33.9258,18.4232,69.01,73,75,16.11,1612671763
35,Pacific Grove,36.6177,-121.9166,51.8,82,1,4.61,1612672426
36,Ponta do Sol,32.6667,-17.1,53.01,65,25,5.01,1612672018
37,Nakusp,50.2499,-117.8023,30.2,100,88,1.14,1612672529
38,Linxia Chengguanzhen,35.6003,103.2064,38.57,52,100,3.2,1612672242
39,Bethel,41.3712,-73.414,28.0,63,1,3.44,1612672055
40,Noumea,-22.2763,166.4572,84.0,74,90,6.91,1612672531
41,Pimentel,-6.8367,-79.9342,69.01,87,100,5.01,1612672531
42,Hermanus,-34.4187,19.2345,66.0,94,97,1.01,1612671696
43,Venezuela,8.0,-66.0,79.36,64,100,16.15,1612672531
44,Moba,33.2288,105.0179,46.92,43,74,4.21,1612672531
45,Punta Arenas,-53.15,-70.9167,46.4,81,0,11.5,1612671943
46,Arraial do Cabo,-22.9661,-42.0278,71.85,83,100,9.01,1612672100
47,Mar del Plata,-38.0023,-57.5575,64.0,82,40,8.05,1612672086
48,Avarua,-21.2078,-159.775,84.2,70,20,11.5,1612672085
49,Butaritari,3.0707,172.7902,80.92,80,60,21.21,1612672088
50,Kendari,-3.945,122.4989,88.29,63,100,4.12,1612672534
51,Madimba,-10.4,40.3333,77.0,94,40,9.22,1612672534
52,Saint Paul Harbor,57.79,-152.4072,32.0,64,1,10.36,1612671836
53,Lindi,-10.0,39.7167,77.0,94,40,9.22,1612672535
54,Port Elizabeth,-33.918,25.5701,68.0,77,0,11.5,1612672094
55,Pitimbu,-7.4706,-34.8086,77.0,88,20,2.3,1612672535
56,Priladozhskiy,59.85,31.4833,8.01,54,100,9.71,1612672535
57,Kloulklubed,7.0419,134.2556,82.4,89,75,12.66,1612672536
58,Busselton,-33.65,115.3333,61.0,95,100,1.99,1612672427
59,Coahuayana Viejo,18.7333,-103.6833,68.92,87,0,2.66,1612672536
60,Marabu,4.4148,114.0089,84.2,84,40,5.75,1612672209
61,Talnakh,69.4865,88.3972,-29.16,72,0,1.45,1612672136
62,Faro,37.0194,-7.9322,51.8,82,40,12.66,1612672537
63,Prijepolje,43.3719,19.6406,48.2,49,0,8.05,1612672537
64,Chui,-33.6971,-53.4616,66.0,90,0,7.18,1612672098
65,Akdepe,42.0551,59.3788,37.4,87,0,4.61,1612672538
66,Yellowknife,62.456,-114.3525,-43.01,66,1,2.3,1612671954
67,Huancavelica,-12.7667,-74.9833,40.6,94,99,4.65,1612672538
68,Caravelas,-17.7125,-39.2481,77.72,88,100,7.92,1612672429
69,Coos Bay,43.3665,-124.2179,46.99,100,90,4.61,1612672538
70,Bambous Virieux,-20.3428,57.7575,84.0,83,40,6.91,1612672087
71,Tual,-5.6667,132.75,83.95,79,100,21.03,1612672538
72,Provideniya,64.3833,-173.3,-4.09,86,1,8.79,1612672539
73,Chokurdakh,70.6333,147.9167,-24.84,85,60,5.44,1612672079
74,New Norfolk,-42.7826,147.0587,70.0,45,19,4.0,1612672023
75,Vostok,46.4856,135.8833,-2.33,89,100,5.12,1612672393
76,Lagoa,39.05,-27.9833,60.15,90,98,25.5,1612672346
77,Rondonópolis,-16.4708,-54.6356,71.89,79,95,0.98,1612672539
78,Vanavara,60.34,102.2797,16.86,96,100,10.25,1612672539
79,Puerto Ayora,-0.7393,-90.3518,77.0,94,49,6.71,1612671992
80,Winnemucca,40.973,-117.7357,46.4,34,1,11.5,1612672540
81,Micheweni,-4.9667,39.8333,81.95,72,98,9.22,1612672540
82,Saskylakh,71.9167,114.0833,-42.21,78,22,7.74,1612672082
83,Oddur,4.1213,43.8894,70.88,72,13,19.91,1612672542
84,Los Llanos de Aridane,28.6585,-17.9182,60.8,63,0,5.75,1612672542
85,Wailuku,20.8911,-156.5047,73.4,56,20,8.05,1612672542
86,Dunedin,-45.8742,170.5036,60.01,80,0,28.01,1612672029
87,Kavieng,-2.5744,150.7967,85.66,65,67,5.48,1612672080
88,Narsaq,60.9167,-46.05,46.4,25,75,20.71,1612672070
89,Kaitangata,-46.2817,169.8464,66.0,74,3,8.99,1612672031
90,Hobart,-42.8794,147.3294,70.0,48,20,19.57,1612671975
91,Sola,-13.8833,167.55,87.8,76,75,8.23,1612672544
92,Ilulissat,69.2167,-51.1,28.4,40,0,24.16,1612672427
93,Jamestown,42.097,-79.2353,14.0,62,1,5.75,1612672064
94,Lavrentiya,65.5833,-171.0,-11.09,78,0,6.93,1612672508
95,Pringsewu,-5.3582,104.9744,85.42,71,75,6.26,1612672545
96,Nesterov,54.6306,22.5714,2.32,94,5,2.08,1612672547
97,Hong Kong,22.2855,114.1577,77.0,38,0,13.8,1612672073
98,Atuona,-9.8,-139.0333,79.83,80,86,21.9,1612671971
99,Zhangye,38.9342,100.4517,45.03,36,25,6.24,1612672548
100,Norman Wells,65.282,-126.8329,-27.4,75,75,3.44,1612672061
101,Safi,32.2994,-9.2372,55.99,71,4,9.8,1612672548
102,Laa,8.0797,-10.7732,68.85,87,61,0.51,1612672549
103,Dukat,62.55,155.55,-1.8,89,100,11.77,1612672437
104,Tadine,-21.55,167.8833,81.14,73,33,4.74,1612672549
105,Eyl,7.9803,49.8164,77.72,71,55,15.41,1612672549
106,Barrow,71.2906,-156.7887,-5.8,77,90,16.11,1612671993
107,Dikson,73.5069,80.5464,-27.6,87,91,10.04,1612672014
108,Kapaa,22.0752,-159.319,71.6,53,75,4.61,1612672004
109,Te Anau,-45.4167,167.7167,75.29,36,0,6.89,1612672077
110,Hambantota,6.1241,81.1185,84.2,84,0,10.36,1612672484
111,Vaini,-21.2,-175.2,82.4,83,75,9.22,1612671964
112,Broome,42.2506,-75.833,21.2,42,1,4.61,1612672553
113,Magadan,59.5667,150.8,16.95,85,100,15.84,1612672553
114,Nome,64.5011,-165.4064,14.0,79,90,10.36,1612672381
115,Bonavista,48.6499,-53.1147,39.0,93,88,9.22,1612672142
